"","Family","Genus","Taxa","Portik","guild","ecology","terrestrial","lung","Spec_lotic","six_state","eight_state","state","tree_names"
"625","Odontophrynidae","Proceratophrys","Proceratophrys_brauni","","lotic",0,"0",1,0,3,3,2,"Proceratophrys_brauni"
"626","Pelobatidae","Pelobates","Pelobates_cultripes","","lentic, benthic",1,"0",1,0,6,6,4,"Pelobates_cultripes"
"627","Pelobatidae","Pelobates","Pelobates_fuscus","","lentic, benthic",1,"0",1,0,6,6,4,"Pelobates_fuscus"
"628","Pelodytidae","Pelodytes","Pelodytes_caucasicus","","lentic, benthic",1,"0",1,0,6,6,4,"Pelodytes_caucasicus"
"637","Phrynobatrachidae","Phrynobatrachus","Phrynobatrachus_guineensis","","lentic, arboreal",1,"0",1,0,6,6,4,"Phrynobatrachus_guineensis"
"638","Phrynobatrachidae","Phrynobatrachus","Phrynobatrachus_natalensis","","lentic",1,"0",1,0,6,6,4,"Phrynobatrachus_natalensis"
"639","Pipidae","Hymenochirus","Hymenochirus_boettgeri","","lentic, carnivore",1,"0",1,0,6,6,4,"Hymenochirus_boettgeri"
"640","Pipidae","Pipa","Pipa_carvalhoi","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Pipa_carvalhoi"
"641","Pipidae","Pipa","Pipa_myersi","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Pipa_myersi"
"644","Pipidae","Xenopus","Xenopus_laevis","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Xenopus_laevis"
"645","Pipidae","Xenopus","Xenopus_tropicalis","","lentic",1,"0",1,0,6,6,4,"Xenopus_tropicalis"
"648","Ptychadenidae","Ptychadena","Ptychadena_anchietae","","lentic",1,"0",1,0,6,6,4,"Ptychadena_anchietae"
"649","Ptychadenidae","Ptychadena","Ptychadena_mascareniensis","","lentic",1,"0",1,0,6,6,4,"Ptychadena_mascareniensis"
"650","Pyxicephalidae","Amietia","Amietia_angolensis","","lentic, benthic",1,"0",1,0,6,6,4,"Amietia_angolensis"
"651","Pyxicephalidae","Amietia","Amietia_delalandii","","lotic lentic",1,"0",1,0,6,6,4,"Amietia_delalandii"
"652","Pyxicephalidae","Amietia","Amietia_fuscigula","","lotic, sidepools",0,"0",1,0,3,3,2,"Amietia_fuscigula"
"653","Pyxicephalidae","Amietia","Amietia_ruwenzorica","","lotic, suctorial",0,"0",1,1,4,4,2,"Amietia_ruwenzorica"
"654","Pyxicephalidae","Amietia","Amietia_vertebralis","","lotic, benthic",0,"0",1,0,3,3,2,"Amietia_vertebralis"
"658","Pyxicephalidae","Cacosternum","Cacosternum_namaquense","","lentic, benthic",1,"0",1,0,6,6,4,"Cacosternum_namaquense"
"660","Pyxicephalidae","Natalobatrachus","Natalobatrachus_bonebergi","","lotic",0,"0",1,0,3,3,2,"Natalobatrachus_bonebergi"
"662","Pyxicephalidae","Poyntonia","Poyntonia_paludicola","","lentic",1,"0",1,0,6,6,4,"Poyntonia_paludicola"
"663","Pyxicephalidae","Pyxicephalus","Pyxicephalus_adspersus","","lentic, benthic",1,"0",1,0,6,6,4,"Pyxicephalus_adspersus"
"664","Pyxicephalidae","Strongylopus","Strongylopus_grayii","","lentic",1,"0",1,0,6,6,4,"Strongylopus_grayii"
"665","Pyxicephalidae","Tomopterna","Tomopterna_cryptotis","","lentic",1,"0",1,0,6,6,4,"Tomopterna_cryptotis"
"666","Pyxicephalidae","Tomopterna","Tomopterna_luganga","","lentic",1,"0",1,0,6,6,4,"Tomopterna_luganga"
"668","Ranidae","Amnirana","Amnirana_albolabris","","lentic",1,"0",1,0,6,6,4,"Amnirana_albolabris"
"669","Ranidae","Amolops","Amolops_ricketti","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Amolops_ricketti"
"670","Ranidae","Amolops","Amolops_sp.","Amolops_cremnobatus","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Amolops_cremnobatus"
"672","Ranidae","Chalcorana","Chalcorana_chalconota","","lotic",0,"0",1,0,3,3,2,"Chalcorana_chalconota"
"673","Ranidae","Chalcorana","Chalcorana_megalonesa","","lentic",1,"0",1,0,6,6,4,"Chalcorana_megalonesa"
"674","Ranidae","Clinotarsus","Clinotarsus_alticola","","lotic, benthic",0,"0",1,0,3,3,2,"Clinotarsus_alticola"
"675","Ranidae","Clinotarsus","Clinotarsus_penelope","","lentic",1,"0",1,0,6,6,4,"Clinotarsus_penelope"
"677","Ranidae","Huia","Huia_cavitympanum","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Huia_cavitympanum"
"682","Ranidae","Meristogenys","Meristogenys_jerboa","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Meristogenys_jerboa"
"685","Ranidae","Papurana","Papurana_kreffti","","lentic",1,"0",1,0,6,6,4,"Papurana_kreffti"
"689","Ranidae","Pelophylax","Pelophylax_ridibundus","","lentic",1,"0",1,0,6,6,4,"Pelophylax_ridibundus"
"691","Ranidae","Pulchrana","Pulchrana_grandocula","","lotic",0,"0",1,0,3,3,2,"Pulchrana_grandocula"
"692","Ranidae","Rana","Rana_berlandieri","","lentic",1,"0",1,0,6,6,4,"Rana_berlandieri"
"693","Ranidae","Rana","Rana_blairi","","lentic",1,"0",1,0,6,6,4,"Rana_blairi"
"694","Ranidae","Rana","Rana_catesbeiana","","lentic",1,"0",1,0,6,6,4,"Rana_catesbeiana"
"695","Ranidae","Rana","Rana_chiricahuensis","","lentic",1,"0",1,0,6,6,4,"Rana_chiricahuensis"
"696","Ranidae","Rana","Rana_clamitans","","lentic",1,"0",1,0,6,6,4,"Rana_clamitans"
"697","Ranidae","Rana","Rana_johnsi","","lotic",0,"0",1,0,3,3,2,"Rana_johnsi"
"698","Ranidae","Rana","Rana_juliani","","lotic",0,"0",1,0,3,3,2,"Rana_juliani"
"699","Ranidae","Rana","Rana_longicrus","","lentic",1,"0",1,0,6,6,4,"Rana_longicrus"
"700","Ranidae","Rana","Rana_maculata","","lentic",1,"0",1,0,6,6,4,"Rana_maculata"
"701","Ranidae","Rana","Rana_magnaocularis","","lentic",1,"0",1,0,6,6,4,"Rana_magnaocularis"
"702","Ranidae","Rana","Rana_neovolcanica","","lentic",1,"0",1,0,6,6,4,"Rana_neovolcanica"
"703","Ranidae","Rana","Rana_omeimontis","","lentic",1,"0",1,0,6,6,4,"Rana_omeimontis"
"704","Ranidae","Rana","Rana_palmipes","","lentic",1,"0",1,0,6,6,4,"Rana_palmipes"
"705","Ranidae","Rana","Rana_palustris","","lentic",1,"0",1,0,6,6,4,"Rana_palustris"
"706","Ranidae","Rana","Rana_pipiens","","lentic",1,"0",1,0,6,6,4,"Rana_pipiens"
"707","Ranidae","Rana","Rana_pretiosa","","lentic",1,"0",1,0,6,6,4,"Rana_pretiosa"
"708","Ranidae","Rana","Rana_pustulosa","","lotic",0,"0",1,0,3,3,2,"Rana_pustulosa"
"709","Ranidae","Rana","Rana_sauteri","","lotic, gastromyzophorous",0,"0",1,1,4,4,2,"Rana_sauteri"
"710","Ranidae","Rana","Rana_septentrionalis","","lentic",1,"0",1,0,6,6,4,"Rana_septentrionalis"
"711","Ranidae","Rana","Rana_sierramadrensis","","lotic, benthic",0,"0",1,0,3,3,2,"Rana_sierramadrensis"
"712","Ranidae","Rana","Rana_spectabilis","","lentic",1,"0",1,0,6,6,4,"Rana_spectabilis"
"713","Ranidae","Rana","Rana_sphenocephala","","lentic",1,"0",1,0,6,6,4,"Rana_sphenocephala"
"714","Ranidae","Rana","Rana_sylvatica","","lentic",1,"0",1,0,6,6,4,"Rana_sylvatica"
"715","Ranidae","Rana","Rana_temporaria","","lentic",1,"0",1,0,6,6,4,"Rana_temporaria"
"716","Ranidae","Rana","Rana_vaillanti","","lentic",1,"0",1,0,6,6,4,"Rana_vaillanti"
"717","Ranidae","Rana","Rana_vibicaria","","lentic",1,"0",1,0,6,6,4,"Rana_vibicaria"
"718","Ranidae","Rana","Rana_virgatipes","","lentic",1,"0",1,0,6,6,4,"Rana_virgatipes"
"719","Ranidae","Rana","Rana_warszewitschii","","lotic, benthic",0,"0",1,0,3,3,2,"Rana_warszewitschii"
"720","Ranidae","Rana","Rana_yavapaiensis","","lentic",1,"0",1,0,6,6,4,"Rana_yavapaiensis"
"721","Ranidae","Rana","Rana_zweifeli","","lentic, benthic",1,"0",1,0,6,6,4,"Rana_zweifeli"
"722","Ranidae","Sanguirana","Sanguirana_mearnsi","","lotic",0,"0",1,0,3,3,2,"Sanguirana_mearnsi"
"723","Ranidae","Staurois","Staurois_parvus","","lotic, fossorial",0,"0",1,1,4,4,2,"Staurois_parvus"
"725","Ranidae","Sylvirana","Sylvirana_maosonensis","","lentic",1,"0",1,0,6,6,4,"Sylvirana_maosonensis"
"726","Ranidae","Sylvirana","Sylvirana_nigrovittata","","lotic",0,"0",1,0,3,3,2,"Sylvirana_nigrovittata"
"727","Ranidae","Wijayarana","Wijayarana_melasma","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Wijayarana_melasma"
"731","Rhacophoridae","Buergeria","Buergeria_japonica","","lotic, benthic, hot springs",0,"0",1,0,3,3,2,"Buergeria_japonica"
"732","Rhacophoridae","Chirixalus","Chirixalus_sp.","?","",NA,"",1,0,NA,NA,NA,NA
"733","Rhacophoridae","Chiromantis","Chiromantis_nongkhorensis","","lentic",1,"0",1,0,6,6,4,"Chiromantis_nongkhorensis"
"734","Rhacophoridae","Chiromantis","Chiromantis_xerampelina","","lentic, benthic",1,"0",1,0,6,6,4,"Chiromantis_xerampelina"
"735","Rhacophoridae","Feihyla","Feihyla_kajau","","lentic",1,"0",1,0,6,6,4,"Feihyla_kajau"
"738","Rhacophoridae","Kurixalus","Kurixalus_appendiculatus","","lentic",1,"0",1,0,6,6,4,"Kurixalus_appendiculatus"
"739","Rhacophoridae","Leptomantis","Leptomantis_angulirostris","","lotic, suctorial",0,"0",1,1,4,4,2,"Leptomantis_angulirostris"
"740","Rhacophoridae","Leptomantis","Leptomantis_fasciatus","","lentic",1,"0",1,0,6,6,4,"Leptomantis_fasciatus"
"741","Rhacophoridae","Leptomantis","Leptomantis_penanorum","","lotic, suctorial",0,"0",1,1,4,4,2,"Leptomantis_penanorum"
"745","Rhacophoridae","Nyctixalus","Nyctixalus_pictus","","lentic, arboreal",1,"0",1,0,6,6,4,"Nyctixalus_pictus"
"746","Rhacophoridae","Nyctixalus","Nyctixalus_spinosum","","lentic, arboreal",1,"0",1,0,6,6,4,"Nyctixalus_spinosum"
"747","Rhacophoridae","Philautus","Philautus_sp.","Philautus_hosii","lentic, arboreal",1,"0",1,0,6,6,4,"Philautus_hosii"
"748","Rhacophoridae","Polypedates","Polypedates_leucomystax","","lentic, benthic",1,"0",1,0,6,6,4,"Polypedates_leucomystax"
"751","Rhacophoridae","Rhacophorus","Rhacophorus_baluensis","","lentic",1,"0",1,0,6,6,4,"Rhacophorus_baluensis"
"752","Rhacophoridae","Rhacophorus","Rhacophorus_pardalis","","lentic, benthic",1,"0",1,0,6,6,4,"Rhacophorus_pardalis"
"754","Rhacophoridae","Theloderma","Theloderma_horridum","","lentic, arboreal",1,"0",1,0,6,6,4,"Theloderma_horridum"
"755","Rhacophoridae","Theloderma","Theloderma_leporosum","","lentic, arboreal",1,"0",1,0,6,6,4,"Theloderma_leporosum"
"756","Rhacophoridae","Zhangixalus","Zhangixalus_dulitensis","","lentic",1,"0",1,0,6,6,4,"Zhangixalus_dulitensis"
"757","Rhacophoridae","Zhangixalus","Zhangixalus_moltrechti","","lentic",1,"0",1,0,6,6,4,"Zhangixalus_moltrechti"
"761","Rhinophrynidae","Rhinophrynus","Rhinophrynus_dorsalis","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Rhinophrynus_dorsalis"
"763","Scaphiopodidae","Scaphiopus","Scaphiopus_holbrookii","","lentic, benthic",1,"0",1,0,6,6,4,"Scaphiopus_holbrookii"
"764","Scaphiopodidae","Spea","Spea_bombifrons","","lentic, benthic",1,"0",1,0,6,6,4,"Spea_bombifrons"
"765","Scaphiopodidae","Spea","Spea_hammondii","","lentic, benthic",1,"0",1,0,6,6,4,"Spea_hammondii"
"766","Scaphiopodidae","Spea","Spea_intermontana","","lentic, benthic",1,"0",1,0,6,6,4,"Spea_intermontana"
"767","Scaphiopodidae","Spea","Spea_multiplicata","","lentic, benthic",1,"0",1,0,6,6,4,"Spea_multiplicata"
"789","Telmatobiidae","Telmatobius","Telmatobius_arequipensis","?","lotic",0,"0",1,0,3,3,2,NA
"790","Telmatobiidae","Telmatobius","Telmatobius_atahualpai","Telmatobius_verrucosus","lotic, suctorial",0,"0",1,1,4,4,2,"Telmatobius_verrucosus"
"791","Telmatobiidae","Telmatobius","Telmatobius_jelskii","?","lotic, benthic",0,"0",1,0,3,3,2,NA
"792","Telmatobiidae","Telmatobius","Telmatobius_macrostomus","","lentic",1,"0",1,0,6,6,4,"Telmatobius_macrostomus"
"793","Telmatobiidae","Telmatobius","Telmatobius_marmoratus","","lentic, benthic",1,"0",1,0,6,6,4,"Telmatobius_marmoratus"
"794","Telmatobiidae","Telmatobius","Telmatobius_peruvianus","","lotic",0,"0",1,0,3,3,2,"Telmatobius_peruvianus"
