sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
66,Bufonidae,Bufo,Bufo_japonicus,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,Bufo_japonicus,,,,,,
67,Bufonidae,Bufo,Bufo_torrenticola,,,,,"lotic, suctorial",0,1,,,?,,,,,,,,,,,,,,,,,,,,,
68,Bufonidae,Bufoides,,,,,,UNKNOWN,4,0,,,,,,,,,,,,,,,,,,0,,,,,,
69,Bufonidae,Bufotes,,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
70,Bufonidae,Capensibufo,Capensibufo_tradouwi,KU_206556,,,,"Lentic, benthic",1,0,,absent,0,buds,KU,1,~36,1,,,,,,,KU,,,Capensibufo_tradouwi,,,,,,
71,Bufonidae,Churamiti,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
72,Bufonidae,Dendrophryniscus,Dendrophryniscus_brevipollicatus,,,,,"Lentic, benthic",1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Dendrophryniscus_brevipollicatus,,,,,,
73,Bufonidae,Didynamipus,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
74,Bufonidae,Duttaphrynus,Duttaphrynus_himalayanus,,,,,lotic,0,0,,,,,,,,,,,,,,,,,,Duttaphrynus_himalayanus,,,,,,
75,Bufonidae,Duttaphrynus,Duttaphrynus_melanostictus,ZMH_13595,,,,lentic,1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Duttaphrynus_melanostictus,,,,,,
